Locus,Gene,Category,LocusGroup,Source,Comments
IGK,1-AAD,Functional,sister,Fig2,
IGK,1-AAY,Functional,main,Fig2,
IGK,1-ADF,Functional,sister,Fig2,
IGK,1-ABZ,Functional,main,Fig2,
IGK,1-AAL,Functional,sister,Fig2,
IGK,2-AAB,Non-functional,main,Fig2,
IGK,3-ABF,Functional,main,Fig2,
IGK,3-AAP,Functional,sister,Fig2,
IGK,1-ACK,Functional,main,Fig2,
IGK,1-ACE,Functional,main,Fig2,
IGK,4-ADE,Non-functional,main,Fig2,
IGK,1-ABU,Non-functional,main,Fig2,
IGK,6-ABA,Functional,main,Fig2,
IGK,2-ADB,Non-functional,main,Fig2,
IGK,2-ACM,Non-functional,main,Fig2,
IGK,1-AAX,Non-functional,main,Fig2,
IGK,1-ACW,Non-functional,main,Fig2,
IGK,2-ABO,Non-functional,main,Fig2,
IGK,1-AEE,Functional,main,Fig2,
IGK,1-ADD,Functional,sister,Fig2,
IGK,3-ACF,Functional,main,Fig2,
IGK,3-ADW,Functional,sister,Fig2,
IGK,1-ACO,Non-functional,main,Fig2,
IGK,6-ABK,Functional,main,Fig2,
IGK,1-ABC,Non-functional,main,Fig2,
IGK,2-ADG,Non-functional,main,Fig2,
IGK,2-ADC,Functional,main,Fig2,
IGK,1-ADT,Functional,main,Fig2,
IGK,2-ABW,Functional,main,Fig2,
IGK,2-AAT,Functional,main,Fig2,
IGK,2-AAQ,Functional,sister,Fig2,
IGK,2-AAN,Functional,main,Fig2,
IGK,1-ACJ,Non-functional,main,Fig2,
IGK,2-ACL,Functional,main,Fig2,
IGK,3-ABG,Non-functional,main,Fig2,
IGK,1-ACV,Non-functional,main,Fig2,
IGK,2-AAK,Functional,main,Fig2,
IGK,1-AAS,Functional,main,Fig2,
IGK,6-AAR,Non-functional,main,Fig2,
IGK,2-AEH,Functional,main,Fig2,
IGK,1-AEK,Functional,main,Fig2,
IGK,2-ADV,Functional,main,Fig2,
IGK,3-ABX,Non-functional,main,Fig2,
